"Hostname","OS Type","IP Address","MAC Address","WLAN (SSID)","AP MAC","Traffic (Session)","Traffic (uplink)","Traffic (downlink)","Data Rate (up)","Data Rate (down)","RSSI","SNR","Radio Type","VLAN","Channel","User Name","Auth Method","Auth Status","Control Plane","Session start time"
"","Unidentified Router or AP","10.60.1.48/::","00:16:78:69:09:00","EHC TV","B4:79:C8:10:EE:30","3251095","98399","3152696","208","6665","-87","9","g/n","60","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 08:54:27"
"","Unidentified Router or AP","10.90.2.55/::","00:16:78:91:33:E0","EHC TV","B4:79:C8:10:E4:A0","104944860","3935629","101009231","281","7215","-73","21","g/n","90","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 04:55:02"
"Samsung","Unknown","10.60.0.159/::","00:7C:2D:26:92:EF","EHC TV","C8:03:F5:14:C7:A0","1351212596","49133066","1302079530","4643","123069","-79","15","g/n","60","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 05:09:10"
"Samsung","Unknown","10.40.0.161/::","00:7C:2D:26:92:FD","EHC TV","84:23:88:1E:4B:A0","11950902","694391","11256511","761","12342","-62","30","g/n","40","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 08:34:08"
"Samsung","Unknown","10.90.3.123/::","00:7C:2D:26:93:19","EHC TV","B4:79:C8:10:D5:30","109760571","5551604","104208967","316","5936","-88","9","g/n","90","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 04:11:59"
"Samsung","Unknown","10.90.4.36/::","00:7C:2D:26:93:3C","EHC TV","B4:79:C8:10:E3:B0","32133188","1399663","30733525","713","15656","-82","13","g/n","90","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 06:08:57"
"Samsung","Unknown","10.90.4.64/::","00:7C:2D:26:93:FA","EHC TV","B4:79:C8:10:D5:20","36371114","2972652","33398462","2283","25651","-62","34","g/n","90","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/03 01:27:58"
"Samsung","Unknown","10.100.5.200/::","00:7C:2D:26:94:0C","EHC TV","20:58:69:0C:86:C0","9349746","5202602","4147144","223","178","-72","21","g/n","100","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 02:37:52"
"Samsung","Unknown","10.20.1.178/::","00:7C:2D:AF:84:E2","EHC TV","B4:79:C8:11:06:40","29512080","4199755","25312325","178","1077","-64","32","g/n","20","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 02:32:17"
"Samsung","Unknown","10.90.4.75/::","00:7C:2D:AF:85:28","EHC TV","B4:79:C8:0F:7E:B0","55755471","799866","54955605","1024","70365","-81","16","g/n","90","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 02:41:23"
"Samsung","Unknown","10.100.3.99/::","00:C3:F4:7E:09:C1","EHC TV","20:58:69:0C:7C:80","168076","69153","98923","3","4","-78","17","g/n","100","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 00:49:00"
"Samsung","Unknown","10.50.2.219/::","00:C3:F4:7E:0A:11","EHC TV","B4:79:C8:15:4D:20","9242017","43591","9198426","2","624","-72","24","g/n","50","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 04:59:57"
"Samsung","Unknown","10.100.6.177/::","00:C3:F4:7E:0A:E3","EHC TV","20:58:69:0C:98:30","123237909","6677746","116560163","8315","145155","-70","28","g/n","100","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 01:23:53"
"Samsung","Unknown","10.30.3.108/::","00:C3:F4:7E:0B:02","EHC TV","C8:03:F5:33:C0:C0","577648257","22667374","554980883","17876","437682","-79","16","g/n","30","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 07:18:53"
"Samsung","Unknown","10.30.3.226/::","00:C3:F4:7E:0B:1F","EHC TV","C8:03:F5:33:E5:D0","66784635","578782","66205853","36","4215","-71","24","g/n","30","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 02:40:54"
"Samsung","Unknown","10.100.6.109/::","00:C3:F4:7E:0B:3B","EHC TV","20:58:69:0C:86:C0","1361507012","58511303","1302995709","1952","43485","-73","20","g/n","100","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/03 21:28:30"
"Samsung","Unknown","10.60.0.74/::","00:C3:F4:7E:0B:77","EHC TV","C8:03:F5:33:AA:30","238311363","5061495","233249868","398","18341","-73","23","g/n","60","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 02:44:57"
"Samsung","Unknown","10.100.4.120/::","00:C3:F4:86:2D:62","EHC TV","20:58:69:0C:63:50","1347804989","66035818","1281769171","5513","107019","-65","28","g/n","100","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/03 20:24:12"
"Samsung","Unknown","10.30.3.49/::","00:C3:F4:86:2E:1D","EHC TV","C8:03:F5:33:AC:20","","","","","","","","N/A","30","","N/A","Standard+Open","AUTHORIZED","","2025/07/04 09:05:24"
"Samsung","Unknown","10.30.5.168/::","00:C3:F4:86:2E:6E","EHC TV","C8:03:F5:33:A9:D0","360662472","13236837","347425635","3197","83919","-78","17","g/n","30","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 07:52:04"
"Samsung","Unknown","10.90.3.1/::","00:C3:F4:86:2E:81","EHC TV","B4:79:C8:10:E4:A0","23348781","84647","23264134","6","1675","-65","29","g/n","90","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 05:13:54"
"Samsung","Unknown","10.20.1.222/::","00:C3:F4:86:2E:AA","EHC TV","C8:03:F5:33:A7:F0","38071523","2050013","36021510","1085","19069","-86","11","g/n","20","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 08:33:41"
"Samsung","Unknown","10.100.1.127/::","00:C3:F4:86:2F:72","EHC TV","20:58:69:0C:6D:B0","266994379","670781","266323598","19","7591","-71","25","g/n","100","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/03 04:29:57"
"Samsung","Unknown","10.100.3.145/::","00:C3:F4:86:46:50","EHC TV","20:58:69:0C:B0:80","215782","83185","132597","4","6","-73","24","g/n","100","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 03:32:54"
"Samsung","Unknown","10.100.4.28/::","00:C3:F4:86:46:64","EHC TV","20:58:69:0C:95:C0","6450937652","230941410","6219996242","15547","418742","-57","38","g/n","100","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/06/29 20:24:14"
"Samsung","Unknown","10.100.7.193/::","00:C3:F4:86:46:C2","EHC TV","20:58:69:0C:98:30","313553406","14845283","298708123","1149","23125","-84","14","g/n","100","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/03 17:45:51"
"Samsung","Unknown","10.30.0.193/::","00:C3:F4:86:48:7B","EHC TV","C8:03:F5:33:AC:20","5553889","2404239","3149650","4779","6261","-74","21","g/n","30","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 06:06:49"
