"Hostname","OS Type","IP Address","MAC Address","WLAN (SSID)","AP MAC","Traffic (Session)","Traffic (uplink)","Traffic (downlink)","Data Rate (up)","Data Rate (down)","RSSI","SNR","Radio Type","VLAN","Channel","User Name","Auth Method","Auth Status","Control Plane","Session start time"
"Samsung","Unknown","10.100.3.78/::","00:7C:2D:26:92:E4","Reception Hall-TV","84:23:88:1E:4E:80","1529700730","622967","1529077763","4","10740","-65","28","g/n","100","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/03 17:24:01"
"Samsung","Unknown","10.100.6.159/::","00:7C:2D:26:93:E7","Reception Hall-TV","84:23:88:1E:4E:80","865154187","875741","864278446","10","10195","-66","27","g/n","100","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/05 07:27:33"
"Samsung","Unknown","10.100.1.18/::","00:C3:F4:7E:0A:E6","Reception Hall-TV","84:23:88:1E:4E:80","1524065221","411546","1523653675","2","10240","-45","48","g/n","100","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/03 17:37:58"
"Galaxy-A35-5G","Unknown","10.100.2.207/::","16:D1:13:DD:37:D4","Reception Hall-TV","84:23:88:1E:4E:80","1147624","91954","1055670","166","1912","-47","43","a/n/ac","100","44","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 10:42:28"
"iPhone","Unknown","10.100.2.185/::","28:C5:38:D9:F9:84","Reception Hall-TV","84:23:88:1E:44:C0","","","","","","","","N/A","100","","N/A","Standard+Open","AUTHORIZED","","2025/07/07 10:59:33"
"S24-Ultra-alkhas-b-Reem","Unknown","10.100.2.103/::","36:18:7D:6F:16:86","Reception Hall-TV","84:23:88:1E:4E:80","13332990","1326694","12006296","1464","13251","-56","34","a/n/ac","100","44","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 10:42:28"
"Redmi-Note-10-Pro","Unknown","10.100.2.245/::","4A:B4:93:AC:48:FF","Reception Hall-TV","84:23:88:1E:4E:80","131814","22603","109211","52","251","-86","4","a/n/ac","100","44","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 10:50:20"
"Galaxy-A55-5G","Unknown","10.100.2.184/::","52:93:94:53:3D:31","Reception Hall-TV","84:23:88:1E:4E:80","1991484","96185","1895299","130","2578","-55","35","a/n/ac","100","44","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 10:45:21"
"","Unknown","10.100.0.236/::","5E:A6:C1:DB:4C:2F","Reception Hall-TV","84:23:88:1E:4E:80","318112","8604","309508","19","718","-80","10","N/A","100","44","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 10:49:34"
"SUFAIL-ASHARAF","Unknown","10.100.0.109/::","78:A7:C7:B2:74:B8","Reception Hall-TV","84:23:88:1E:44:C0","","","","","","","","N/A","100","","N/A","Standard+Open","AUTHORIZED","","2025/07/07 10:59:45"
"","Unknown","10.100.6.44/::","86:54:52:73:30:00","Reception Hall-TV","84:23:88:1E:4E:80","","","","","","","","N/A","100","","N/A","Standard+Open","AUTHORIZED","","2025/07/07 10:58:05"
"RedmiNote9Pro-RedmiN","Android","10.100.2.212/::","8A:39:00:19:3C:0D","Reception Hall-TV","84:23:88:1E:4E:80","36788493","2850231","33938262","7072","84214","-58","32","a/n/ac","100","44","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 10:50:48"
"V2302","Unknown","10.100.3.21/::","96:5A:89:6E:93:7C","Reception Hall-TV","84:23:88:1E:4E:80","640898","40846","600052","474","6977","-60","30","N/A","100","44","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 10:58:11"
"Galaxy-A32","Unknown","10.100.2.132/::","CE:45:A5:E5:D3:AA","Reception Hall-TV","84:23:88:1E:4E:80","4770224","88445","4681779","2680","141872","-75","15","N/A","100","44","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 10:57:03"
"Galaxy-A15","Unknown","10.100.2.147/::","CE:E6:34:92:65:46","Reception Hall-TV","84:23:88:1E:4E:80","189731","71393","118338","67","111","-77","16","g/n","100","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 10:36:13"
"Galaxy-A16","Unknown","10.100.2.181/::","D6:9C:86:B1:AD:7F","Reception Hall-TV","84:23:88:1E:4E:80","1646290","149616","1496674","159","1593","-68","22","N/A","100","44","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 10:56:40"
"iPhone","Unknown","10.100.3.10/::","F6:B8:E1:A2:9B:05","Reception Hall-TV","84:23:88:1E:4E:80","99413","31116","68297","202","443","-49","41","a/n/ac","100","44","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 10:53:54"
