"Hostname","OS Type","IP Address","MAC Address","WLAN (SSID)","AP MAC","Traffic (Session)","Traffic (uplink)","Traffic (downlink)","Data Rate (up)","Data Rate (down)","RSSI","SNR","Radio Type","VLAN","Channel","User Name","Auth Method","Auth Status","Control Plane","Session start time"
"","Unidentified Router or AP","10.60.2.193/::","00:16:78:69:09:00","EHC TV","8C:FE:74:04:24:10","3442304","144625","3297679","600","13683","-63","32","N/A","60","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/08 10:22:24"
"","Unidentified Router or AP","10.90.3.221/::","00:16:78:91:33:E0","EHC TV","B4:79:C8:10:DE:70","9508826","137872","9370954","48","3328","-76","19","g/n","90","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/08 09:33:57"
"","Unidentified Router or AP","10.90.1.30/::","00:16:78:9F:63:DC","EHC TV","B4:79:C8:10:E0:60","186712407","12433374","174279033","24379","341723","-74","20","g/n","90","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/08 06:53:56"
"Samsung","Unknown","10.60.0.83/::","00:7C:2D:26:92:EF","EHC TV","C8:03:F5:14:C7:A0","1198214968","46581658","1151633310","11596","286689","-71","24","g/n","60","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/08 06:18:03"
"Samsung","Unknown","10.40.3.169/::","00:7C:2D:26:92:FD","EHC TV","84:23:88:1E:4B:A0","4715442619","112177644","4603264975","109122","4477884","-59","33","g/n","40","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 11:37:22"
"Samsung","Unknown","10.90.3.123/::","00:7C:2D:26:93:19","EHC TV","B4:79:C8:10:D5:30","183198916","7397995","175800921","2806","66692","-85","11","g/n","90","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/08 08:04:03"
"Samsung","Unknown","10.100.6.105/::","00:7C:2D:26:94:0C","EHC TV","20:58:69:0C:86:C0","6862268","673497","6188771","23","216","-68","25","g/n","100","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/08 00:26:30"
"Samsung","Unknown","10.20.0.147/::","00:7C:2D:AF:84:E2","EHC TV","B4:79:C8:11:06:40","28899713","907477","27992236","146","4514","-70","25","g/n","20","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/08 04:23:50"
"Samsung","Unknown","10.100.3.23/::","00:7C:2D:AF:85:04","EHC TV","20:58:69:0C:7A:40","14310302","1327037","12983265","1520","14872","-69","27","g/n","100","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 22:53:37"
"Samsung","Unknown","10.90.2.137/::","00:7C:2D:AF:85:15","EHC TV","B4:79:C8:10:DF:10","1017266238","41263720","976002518","4621","109307","-68","27","g/n","90","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/08 06:35:23"
"Samsung","Unknown","10.90.2.118/::","00:7C:2D:AF:85:56","EHC TV","B4:79:C8:10:C3:F0","14983920","478309","14505611","135","4105","-81","15","g/n","90","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/08 09:23:35"
"Samsung","Unknown","10.100.2.171/::","00:C3:F4:7E:09:C1","EHC TV","20:58:69:0C:7C:80","3833947","357326","3476621","192","1868","-73","21","g/n","100","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/08 09:50:36"
"Samsung","Unknown","10.90.2.212/::","00:C3:F4:7E:09:FD","EHC TV","8C:FE:74:04:4D:30","6883346","151159","6732187","91","4075","-84","12","g/n","90","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/08 09:54:58"
"Samsung","Unknown","10.30.4.158/::","00:C3:F4:7E:0A:C3","EHC TV","20:58:69:0C:6A:30","53038","19891","33147","12","20","-76","19","g/n","30","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/08 09:54:25"
"Samsung","Unknown","10.100.2.160/::","00:C3:F4:7E:0A:E3","EHC TV","20:58:69:0C:98:30","69634667","6277686","63356981","11539","116465","-71","27","g/n","100","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 23:20:00"
"Samsung","Unknown","10.30.4.250/::","00:C3:F4:7E:0B:02","EHC TV","C8:03:F5:33:C0:C0","","","","","","","","N/A","30","","N/A","Standard+Open","AUTHORIZED","","2025/07/08 10:23:39"
"Samsung","Unknown","10.30.1.27/::","00:C3:F4:7E:0B:1F","EHC TV","C8:03:F5:33:E5:D0","93232885","281465","92951420","9","3136","-73","21","g/n","30","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/08 02:07:40"
"Samsung","Unknown","10.100.4.171/::","00:C3:F4:7E:0B:3B","EHC TV","20:58:69:0C:86:C0","483735845","22243653","461492192","789","16382","-73","20","g/n","100","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/08 00:52:02"
"Samsung","Unknown","10.60.1.12/::","00:C3:F4:7E:0B:77","EHC TV","C8:03:F5:33:AA:30","2917343633","107626351","2809717282","648351","16926007","-78","18","g/n","60","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/08 02:28:53"
"Samsung","Unknown","10.100.7.14/::","00:C3:F4:86:2D:62","EHC TV","20:58:69:0C:63:50","10700934006","476991057","10223942949","23884","511939","-59","34","g/n","100","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/05 16:45:31"
"Samsung","Unknown","10.30.0.167/::","00:C3:F4:86:2E:1D","EHC TV","C8:03:F5:33:AC:20","","","","","","","","N/A","30","","N/A","Standard+Open","AUTHORIZED","","2025/07/08 10:22:14"
"Samsung","Unknown","10.30.5.168/::","00:C3:F4:86:2E:6E","EHC TV","C8:03:F5:33:A9:D0","313235443","12465963","300769480","47762","1152373","-71","24","g/n","30","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/08 09:14:51"
"Samsung","Unknown","10.90.2.152/::","00:C3:F4:86:2E:81","EHC TV","B4:79:C8:10:DE:70","34965355","1330075","33635280","433","10970","-82","13","g/n","90","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/08 07:18:39"
"Samsung","Unknown","10.20.0.94/::","00:C3:F4:86:2E:AA","EHC TV","C8:03:F5:34:4E:F0","37212525","4359669","32852856","117828","887915","-81","16","g/n","20","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/08 02:33:09"
"Samsung","Unknown","10.90.2.74/::","00:C3:F4:86:2F:4F","EHC TV","B4:79:C8:10:D9:C0","686232742","27191592","659041150","19068","462160","-74","20","g/n","90","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/08 08:49:19"
"Samsung","Unknown","10.100.6.126/::","00:C3:F4:86:2F:72","EHC TV","20:58:69:0C:6D:B0","695942211","1864590","694077621","68","25647","-70","26","g/n","100","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 23:13:46"
"Samsung","Unknown","10.100.6.88/::","00:C3:F4:86:46:50","EHC TV","20:58:69:0C:A1:A0","3757895","745350","3012545","25","103","-78","16","g/n","100","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/08 00:12:44"
"Samsung","Unknown","10.100.1.123/::","00:C3:F4:86:46:64","EHC TV","20:58:69:0C:95:C0","2003083165","69494025","1933589140","9661","268815","-60","34","g/n","100","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 00:00:56"
